,blueTops,btmp,btwr,btt,blueJngs,bjmp,bjwr,bjt,blueMids,bmmp,bmwr,bmt,blueBots,bbmp,bbwr,bbt,blueSups,bsmp,bswr,bst,redTops,rtmp,rtwr,rtt,redJngs,rjmp,rjwr,rjt,redMids,rmmp,rmwr,rmt,redBots,rbmp,rbwr,rbt,redSups,rsmp,rswr,rst,winner
14,Teemo,231781,54,90,Shyvana,6114,-1,-1,Cassiopeia,20743,49,574,Kaisa,29460,54,378,Thresh,5620,52,385,Sejuani,22397,51,290,Graves,15886,47,353,Velkoz,90463,54,204,Caitlyn,692789,52,478,Nautilus,25645,53,197,0
15,Sion,31202,50,796,Belveth,23197,53,677,Katarina,298713,54,204,Sivir,16735,51,578,Seraphine,17645,53,197,Shen,1902,47,32,MasterYi,19970,43,100,Zed,31821,51,696,Kalista,13126,-1,-1,Bard,23985,52,109,1
16,Ornn,36095,55,309,Lillia,8736,51,301,Katarina,298713,54,204,Sivir,37387,50,970,Alistar,109598,53,197,Aatrox,59150,60,105,Kayn,68053,52,21,Leblanc,285794,50,262,Twitch,22666,47,251,Pyke,27776,51,109,1
17,DrMundo,78418,51,411,Zed,1554438,52,395,Akali,358898,51,936,Caitlyn,14487,51,506,Morgana,70092,51,375,Camille,950138,50,334,Karthus,20774,53,303,Velkoz,90463,54,204,Jhin,64732,53,197,Senna,328961,48,409,0
18,Riven,112358,48,202,Nidalee,8458,43,47,Draven,154566,54,219,Kalista,62365,52,370,Morgana,14480,50,278,Darius,91443,51,1146,FiddleSticks,422338,50,298,Katarina,298713,54,204,Jhin,64732,53,197,Zilean,278602,55,221,1
19,MonkeyKing,935197,54,348,Khazix,153189,50,351,Katarina,298713,54,204,Caitlyn,155638,51,264,Renata,25986,53,197,Jax,111693,52,544,MasterYi,1713243,50,328,Akali,227813,51,780,Vayne,160317,54,343,Seraphine,52658,53,422,1
20,Akali,180381,48,394,Ekko,103434,51,406,Varus,13594,53,390,Ezreal,167052,51,834,Xerath,194705,52,433,Kayle,21696,52,590,Graves,841718,51,1193,Katarina,298713,54,204,Jhin,64732,53,197,Senna,56528,52,233,0
21,Gnar,3779,56,113,MonkeyKing,159424,60,94,Yasuo,1080534,50,716,Jhin,1592430,49,741,Lulu,622858,47,138,Renekton,2587,52,46,MasterYi,11704,56,87,Velkoz,90463,54,204,Sivir,5070,49,121,Renata,25986,53,197,1
22,DrMundo,74089,50,272,Warwick,130114,50,471,Zed,1056609,48,781,Karthus,332653,57,159,Senna,36930,54,119,Camille,1135,50,44,Trundle,58549,52,339,Katarina,298713,54,204,Kaisa,189253,54,289,Amumu,5025,61,54,1
23,Gangplank,175954,50,878,Volibear,36719,56,207,Velkoz,90463,54,204,Tristana,191304,51,319,Alistar,109598,53,197,Taric,4303,52,286,Kayn,8444,49,355,Swain,4909,60,316,Samira,4730,49,755,Rell,81233,47,663,0
24,Illaoi,105781,50,933,Ekko,45909,50,1041,Kassadin,187150,50,955,Lucian,68856,54,204,Renata,25986,53,197,Urgot,984503,52,390,Viego,78121,52,541,Brand,99312,51,430,Jhin,36898,56,243,Morgana,5065,56,392,0
25,Garen,104386,-1,-1,Belveth,18851,51,430,Veigar,2963995,52,806,Twitch,47169,54,204,Renata,25986,53,197,Yorick,56044,50,882,XinZhao,7659,51,577,Taliyah,34477,50,949,Kaisa,186126,56,108,Sona,379575,51,763,0
26,Yorick,549767,53,375,Nocturne,4129031,50,1554,Kassadin,55359,54,204,Vayne,133146,49,1277,Renata,25986,53,197,Mordekaiser,39357,45,194,Nidalee,934977,53,466,Lissandra,40265,55,198,Sivir,15175,56,70,Zac,623100,52,478,0
27,Blitzcrank,110914,52,478,Belveth,19841,52,431,Yone,34741,54,527,Jinx,415182,54,348,Velkoz,99286,52,191,TahmKench,10906,54,394,Graves,32989,52,294,Sona,25582,52,707,Vayne,145709,54,204,Soraka,39574,53,197,0
28,Nasus,40364,51,212,Kindred,511588,52,679,Zed,813091,51,111,MissFortune,37099,52,461,Seraphine,89345,48,469,Fiora,18363,50,1011,Maokai,289,49,551,Kennen,101662,54,204,Xayah,37439,50,462,Soraka,39574,53,197,1
29,Jax,20156,46,125,FiddleSticks,65925,49,358,Katarina,298713,54,204,Sivir,29315,51,427,Renata,25986,53,197,Yone,405144,51,116,RekSai,83056,46,54,Akali,997620,56,441,Tristana,43244,52,135,Thresh,67250,49,962,1
30,Olaf,95671,50,721,Trundle,346261,50,714,Katarina,298713,54,204,Jinx,41569,54,304,Lulu,18141,53,197,TahmKench,125229,53,288,LeeSin,261785,50,249,Vex,19371,50,764,Draven,46175,-1,-1,Senna,69753,51,442,0
31,Sejuani,16186,52,362,Kayn,221574,49,363,Talon,1069691,50,369,Seraphine,38183,50,817,Morgana,95746,51,270,Trundle,42785,51,684,Lillia,115280,54,125,Katarina,298713,54,204,Ezreal,77235,53,197,Yuumi,56800,50,819,1
32,Gnar,3027,49,320,Kayn,234896,51,1027,Ahri,38733,54,204,Samira,26299,50,449,Seraphine,17645,53,197,Garen,262422,52,504,Mordekaiser,36060,47,272,Swain,4029,58,113,Jhin,396797,52,1831,Nautilus,1849532,49,1126,0
33,Olaf,22424,51,147,FiddleSticks,115271,-1,-1,Corki,4207,41,164,Sivir,8900,50,1770,Yuumi,330588,50,569,Nasus,91089,50,857,Hecarim,106798,52,363,Katarina,298713,54,204,Nilah,39964,50,2888,Renata,25986,53,197,0
34,Rammus,11753,49,1020,Viktor,69671,53,269,Xerath,610294,51,348,Samira,248676,50,2888,Morgana,21266,57,142,Sejuani,51134,50,875,Kayn,345991,51,140,Kennen,101662,54,204,Sivir,75588,52,697,Alistar,109598,53,197,0
35,Yasuo,495135,54,440,Kindred,25210,49,722,Diana,112698,54,204,Vayne,7519,54,111,Alistar,109598,53,197,Gnar,99664,49,80,Ivern,912496,51,728,Riven,79746,52,396,Jhin,45009,47,68,Nami,2824995,48,1225,1
36,Ashe,69123,49,180,Ekko,19879,50,443,Yone,38027,52,464,Jinx,45612,77,57,Lulu,2073538,49,544,Volibear,92244,54,175,Ivern,7350,49,722,Katarina,298713,54,204,Ezreal,180363,52,213,Karma,22797,53,197,1
37,DrMundo,1435,52,216,Taliyah,17716,53,343,Katarina,298713,54,204,Caitlyn,49249,49,174,Taric,15277,53,197,Trundle,28045,49,703,Kindred,19970,54,79,Zyra,1223540,46,79,Ezreal,102088,54,680,Rakan,8452,56,156,0
38,Riven,95532,52,849,Nidalee,198902,49,178,Kassadin,55359,54,204,Sivir,60584,53,197,Xerath,371925,52,170,Tryndamere,663410,49,99,Belveth,14648,55,76,Sylas,261299,52,493,Samira,36756,57,236,Leona,7307,52,44,0
39,Renekton,152868,56,266,Ekko,2633,54,328,Katarina,298713,54,204,Sivir,60584,53,197,Zilean,180532,53,386,Mordekaiser,132814,51,891,MasterYi,375228,52,392,Brand,38516,52,593,MissFortune,11917,57,58,Xerath,18525,52,496,0
40,Gnar,32021,52,330,Volibear,1575155,51,246,Fizz,463255,52,291,Sivir,1381,47,73,Bard,98055,52,231,Akali,140540,50,595,Garen,370063,52,642,Katarina,298713,54,204,Jhin,355358,-1,-1,Lulu,18141,53,197,1
41,Darius,75198,51,409,Udyr,92986,48,397,Katarina,298713,54,204,Caitlyn,88600,52,504,Seraphine,17645,53,197,Urgot,278977,57,311,Diana,68950,61,110,Fizz,94653,59,145,Sivir,14685,47,220,Senna,38348,51,278,0
42,Malphite,2298620,55,1055,Kindred,219603,51,524,Xerath,84969,53,328,Lucian,289093,50,398,Nami,286959,52,1245,Mordekaiser,35869,48,724,Diana,20997,56,163,Yone,8329,54,204,Sivir,112194,51,799,Taric,15277,53,197,1
43,Nasus,33986,51,41,Zed,65479,-1,-1,Syndra,565952,49,375,Caitlyn,157631,52,356,Brand,224566,53,234,Aatrox,43177,38,99,Diana,108242,51,338,Sylas,416940,53,460,TahmKench,3774,54,204,Senna,19164,53,197,1
44,Renekton,6857,53,504,Evelynn,146103,50,203,Kassadin,55359,54,204,Jhin,184134,49,722,Seraphine,17645,53,197,Fiora,42742,63,90,Diana,3678,52,189,Katarina,90518,54,104,Lucian,285983,50,858,Nami,2285911,51,902,1
