,blueTops,btmp,btwr,btt,blueJngs,bjmp,bjwr,bjt,blueMids,bmmp,bmwr,bmt,blueBots,bbmp,bbwr,bbt,blueSups,bsmp,bswr,bst,redTops,rtmp,rtwr,rtt,redJngs,rjmp,rjwr,rjt,redMids,rmmp,rmwr,rmt,redBots,rbmp,rbwr,rbt,redSups,rsmp,rswr,rst,winner
52,Jax,770643,53,443,Graves,10402,49,85,Zoe,398154,50,290,Jhin,210567,52,131,Karma,54547,57,176,Illaoi,55811,52,612,Kayn,1054842,50,820,Viktor,292329,50,1427,Draven,862481,51,789,Nami,500047,50,202,0
53,Lillia,1547,51,495,Shyvana,5260,51,148,Viktor,10276,47,107,Jhin,1151957,51,330,Senna,26700,57,176,Illaoi,210431,52,965,Karthus,16467,52,295,Yasuo,189022,54,491,Lucian,21989,53,201,Nami,142696,50,747,1
54,Gnar,17559,50,731,MonkeyKing,22639,55,114,Sylas,390853,51,1145,Tristana,266905,50,766,Ashe,238214,51,496,Brand,275304,49,547,MasterYi,395314,51,1175,Akali,382696,52,224,Ezreal,12307,57,134,Karma,54547,57,176,1
55,Gnar,6308,50,361,Evelynn,543790,52,709,Katarina,136987,51,651,Sivir,402136,49,602,Karma,54547,57,176,Garen,22741,50,233,Taliyah,66913,51,675,Pantheon,62116,50,487,Ashe,134907,55,128,Zyra,491530,50,467,1
56,Fiora,838146,49,363,Shaco,369826,-1,-1,Viktor,55952,51,741,Kaisa,83433,57,176,Morgana,18918,51,232,Malphite,310800,49,649,Graves,146466,51,872,Vladimir,84131,-1,-1,Ezreal,87575,53,407,Senna,47977,53,185,0
57,Jayce,72083,51,356,Diana,10189,56,486,Katarina,134901,-1,-1,MissFortune,222575,51,180,Thresh,512781,52,427,Darius,481586,60,159,Mordekaiser,104630,50,718,Akshan,118653,50,771,Nilah,1569,51,232,Soraka,12892,57,176,0
58,Renekton,14409,52,492,Diana,494169,52,160,Yone,2441,49,571,Ashe,263685,-1,-1,Soraka,12892,57,176,Fiora,214304,-1,-1,FiddleSticks,388480,49,374,Viktor,2960,51,475,Vayne,465898,55,439,Renata,15395,52,102,1
59,Mordekaiser,345449,55,93,JarvanIV,842871,44,80,Lucian,38570,-1,-1,Ezreal,92196,44,111,Soraka,12892,57,176,Gangplank,134259,50,1051,MasterYi,60217,-1,-1,Katarina,380673,49,387,Samira,12326,52,240,Nami,14604,54,349,1
60,Vayne,89359,50,1493,Khazix,8609,53,181,Kassadin,150056,51,362,Seraphine,1317337,51,918,MissFortune,18429,50,264,TahmKench,13554,-1,-1,Nunu,150401,48,289,Taliyah,3432,-1,-1,Jhin,65726,56,141,Senna,215649,49,482,1
61,Shyvana,123501,54,139,Zac,86109,52,441,Katarina,288918,43,136,MissFortune,42877,51,122,Senna,25598,54,472,Volibear,41476,50,88,Diana,25353,47,109,Viktor,48547,54,474,Lucian,146085,49,472,Karma,54547,-1,-1,1
62,Renekton,8557,50,501,Rengar,1517539,52,405,Cassiopeia,16147,50,1027,Ezreal,56941,49,336,Karma,54547,-1,-1,Garen,67562,-1,-1,Kayn,258913,56,261,Ekko,1410444,-1,-1,Lucian,135820,55,198,Yuumi,89184,-1,-1,0
63,Tryndamere,88527,49,212,Kindred,41324,57,127,Ezreal,17125,54,74,Ashe,22037,55,302,Lulu,113504,51,900,Akshan,132253,53,227,Vi,342317,50,882,Taliyah,12398,51,77,Zeri,57779,49,357,Karma,54547,-1,-1,0
64,Tryndamere,30381,51,230,RekSai,6080,51,321,Viktor,2039,52,246,Jhin,95344,51,1001,Karma,54547,-1,-1,Camille,25788,52,141,Belveth,4620,51,583,Swain,22495,52,504,Draven,54282,49,85,Velkoz,92551,51,204,0
65,Singed,157010,50,436,Warwick,26702,-1,-1,Qiyana,67487,49,323,MissFortune,54512,49,480,Senna,26700,-1,-1,Sylas,164100,52,241,Kindred,211102,51,487,Zed,361894,50,830,Jhin,698394,51,288,Thresh,73541,52,313,1
66,Chogath,34230,53,305,Khazix,228045,51,540,Lissandra,17284,51,299,KogMaw,155073,49,116,Lulu,452447,47,253,Swain,35512,49,73,Nocturne,94839,58,119,Diana,38934,54,96,Senna,93332,50,137,Brand,13789,-1,-1,1
67,Swain,2378,-1,-1,Shyvana,11382,51,828,Talon,43284,51,116,Jinx,88637,50,558,Lulu,7721,-1,-1,Riven,523273,49,368,Viego,109478,51,431,Akali,74997,49,439,Ezreal,245364,50,381,Karma,54547,-1,-1,0
68,Urgot,258388,47,311,Kayn,701700,50,659,Lux,568346,55,104,Ezreal,318975,51,990,Bard,519750,52,764,Gangplank,9117,49,472,Graves,44963,54,374,Ryze,214671,52,1307,Jhin,518873,50,936,Ashe,16496,-1,-1,0
69,Mordekaiser,104464,53,473,Belveth,350,49,305,Zoe,778484,52,166,Twitch,106817,43,173,Xerath,343266,47,168,Heimerdinger,188977,48,489,LeeSin,188111,49,867,Veigar,349866,49,597,Zeri,7740,54,26,Karma,54547,-1,-1,0
