,blueTops,btlevel,btmp,btwr,btcwr,btkda,btct,btt,blueJngs,bjlevel,bjmp,bjwr,bjcwr,bjkda,bjct,bjt,blueMids,bmlevel,bmmp,bmwr,bmcwr,bmkda,bmct,bmt,blueBots,bblevel,bbmp,bbwr,bbcwr,bbkda,bbct,bbt,blueSups,bslevel,bsmp,bswr,bscwr,bskda,bsct,bst,redTops,redJngs,redMids,redBots,redSups,winner
2711,KogMaw,78,22432,-1.0,0.0,0.0,0.0,-1.0,Zed,194,107452,-1.0,0.0,0.0,0.0,-1.0,Jayce,60,17146,0.5,0.0,0.0,0.0,16.0,Jhin,284,148367,0.49,0.61,2.8,23.0,168.0,Leona,363,471067,0.52,0.44,2.29,23.0,313.0,Garen,Amumu,Viktor,Ezreal,Xerath,1
2712,Sylas,93,15940,0.52,0.0,0.67,1.0,29.0,Khazix,518,163446,0.52,0.63,2.33,8.0,172.0,Ziggs,54,54217,-1.0,0.0,0.0,0.0,-1.0,Caitlyn,162,20193,-1.0,0.0,0.0,0.0,-1.0,Leona,481,34049,0.43,0.0,0.0,0.0,14.0,Malphite,Graves,Anivia,Kaisa,Thresh,1
2713,Fiora,623,2689307,0.5,0.53,1.68,527.0,896.0,Vi,45,41732,0.55,0.63,2.68,62.0,198.0,Ekko,514,278902,0.49,0.6,3.43,5.0,142.0,Caitlyn,511,759754,0.51,0.56,1.97,218.0,493.0,Soraka,61,451,0.51,1.0,0.0,1.0,187.0,Quinn,FiddleSticks,Yone,Nilah,Blitzcrank,1
2714,Mordekaiser,543,1809953,0.51,0.5,2.04,575.0,837.0,Kayn,375,182402,0.53,0.55,2.14,112.0,306.0,Diana,307,54711,0.53,0.74,2.28,49.0,383.0,Sivir,416,93216,0.51,0.63,2.6,60.0,941.0,Senna,421,108132,0.48,0.43,2.78,30.0,344.0,Sion,Khazix,Swain,Twitch,Yuumi,1
2715,Quinn,358,226131,0.5,0.59,1.99,133.0,504.0,Shaco,86,207876,0.54,0.55,2.94,113.0,243.0,Gragas,226,9746,0.51,0.5,2.49,12.0,1174.0,Draven,61,17873,0.51,0.54,2.01,13.0,187.0,Seraphine,674,302330,0.51,0.52,3.63,123.0,431.0,Udyr,Garen,Ziggs,Ezreal,Blitzcrank,0
2716,Sett,456,163712,0.51,0.5,1.97,242.0,482.0,Sejuani,552,82823,0.49,0.36,2.49,11.0,693.0,Akshan,535,193021,0.52,0.57,3.23,229.0,742.0,Lucian,184,75454,0.53,0.61,2.7,85.0,575.0,Nami,120,6279,0.65,0.8,6.0,5.0,184.0,Mordekaiser,Trundle,Vex,MissFortune,Soraka,1
2717,Tryndamere,236,781242,0.51,0.53,2.57,375.0,450.0,Hecarim,118,511554,0.51,0.52,3.91,435.0,443.0,Ahri,443,37911,0.56,0.58,2.13,19.0,36.0,Caitlyn,224,160002,0.53,0.51,2.21,59.0,371.0,Brand,553,128800,0.47,0.46,1.98,22.0,379.0,Kled,FiddleSticks,Syndra,KogMaw,Lulu,1
2718,Yone,251,54318,0.67,0.83,3.44,6.0,163.0,Zac,45,46896,0.77,0.82,5.94,38.0,44.0,Orianna,219,35690,0.55,0.75,3.31,4.0,508.0,Twitch,304,94236,0.5,0.38,1.97,60.0,680.0,Shaco,700,3041144,0.51,0.53,2.55,921.0,1146.0,Yorick,Amumu,Viktor,MissFortune,Seraphine,1
2719,Mordekaiser,49,2970,0.57,0.6,2.63,5.0,208.0,Khazix,52,97114,0.5,0.56,3.08,79.0,135.0,Lissandra,479,6134,0.52,1.0,2.4,1.0,846.0,Samira,511,96502,0.52,0.56,2.93,87.0,507.0,Yuumi,423,442830,0.49,0.62,5.14,116.0,75.0,Garen,Hecarim,Gangplank,MissFortune,Seraphine,1
2720,Aatrox,292,210781,0.5,0.49,2.06,76.0,564.0,Poppy,393,951266,0.58,0.64,3.11,125.0,205.0,Kindred,357,704077,0.53,0.58,2.32,412.0,618.0,Veigar,61,5543,0.51,0.86,5.76,7.0,187.0,Seraphine,673,302330,0.51,0.52,3.63,123.0,431.0,Yorick,Amumu,Neeko,Sivir,Brand,1
